season,player,team,position,games_played,minutes_played,fga,fgm,fg_pct,three_att,three_made,three_pct,two_att,two_made,two_pct,points,ppg,ts_pct,efg_pct,usg_pct,per,paint_attempts,paint_makes,paint_pct,mid_attempts,mid_makes,mid_pct,three_attempts,three_makes,three_pct_detail,overall_rating
2023,Joel Mitchell,ATL,PF,57,1373,1339,302,0.226,481,92,0.191,858,210,0.245,696,12.2,0.224,0.26,0.35,10.9,391,114,0.292,467,96,0.206,481,92,0.191,67.2
2023,Joel Irving,ATL,SG,29,671,680,147,0.216,260,48,0.185,420,99,0.236,342,11.8,0.215,0.251,0.35,11.1,200,50,0.25,220,49,0.223,260,48,0.185,70.0
2023,Kyrie Durant,ATL,C,29,812,621,137,0.221,200,37,0.185,421,100,0.238,311,10.7,0.219,0.25,0.35,10.0,203,42,0.207,218,58,0.266,200,37,0.185,61.9
2023,Jaren Bane,ATL,PF,29,636,680,150,0.221,231,44,0.19,449,106,0.236,344,11.9,0.22,0.253,0.35,10.7,180,61,0.339,269,45,0.167,231,44,0.19,66.7
2023,Kevin Green,ATL,C,29,783,655,161,0.246,230,40,0.174,425,121,0.285,362,12.5,0.239,0.276,0.35,11.2,182,63,0.346,243,58,0.239,230,40,0.174,67.2
2023,Kyrie George,ATL,SG,29,741,713,174,0.244,235,42,0.179,478,132,0.276,390,13.4,0.239,0.273,0.35,12.0,228,76,0.333,250,56,0.224,235,42,0.179,72.6
2023,Kevin Mitchell,ATL,SF,29,809,738,179,0.243,247,46,0.186,491,133,0.271,404,13.9,0.239,0.274,0.35,11.7,207,87,0.42,284,46,0.162,247,46,0.186,70.6
2023,Rudy Davis,ATL,PF,29,688,741,176,0.238,269,48,0.178,472,128,0.271,400,13.8,0.233,0.27,0.35,11.7,207,70,0.338,265,58,0.219,269,48,0.178,71.5
2023,LaMelo Wiggins,BOS,SG,29,799,659,163,0.247,243,44,0.181,416,119,0.286,370,12.8,0.242,0.281,0.35,12.9,185,68,0.368,231,51,0.221,243,44,0.181,78.8
2023,Jayson Wiggins,BOS,SF,29,792,715,212,0.297,237,57,0.241,478,155,0.324,481,16.6,0.294,0.336,0.35,15.4,226,80,0.354,252,75,0.298,237,57,0.241,88.5
2023,Paul Green,BOS,PG,29,723,700,173,0.247,238,54,0.227,462,119,0.258,400,13.8,0.249,0.286,0.35,13.8,213,73,0.343,249,46,0.185,238,54,0.227,83.7
2023,James Doncic,BOS,PG,57,1503,1234,238,0.193,435,63,0.145,799,175,0.219,539,9.5,0.189,0.218,0.35,11.0,362,87,0.24,437,88,0.201,435,63,0.145,72.7
2023,LeBron George,BOS,PG,29,662,622,137,0.22,232,42,0.181,390,95,0.244,316,10.9,0.218,0.254,0.35,11.3,185,45,0.243,205,50,0.244,232,42,0.181,71.2
2023,Bam Durant,BOS,PF,29,795,689,168,0.244,242,48,0.198,447,120,0.268,384,13.2,0.241,0.279,0.35,13.1,216,71,0.329,231,49,0.212,242,48,0.198,80.0
2023,Tyrese Garland,BOS,C,57,1483,1193,286,0.24,413,57,0.138,780,229,0.294,629,11.0,0.229,0.264,0.35,12.1,340,118,0.347,440,111,0.252,413,57,0.138,74.5
2023,James Tatum,BOS,PG,29,670,662,177,0.267,230,42,0.183,432,135,0.312,396,13.7,0.259,0.299,0.35,12.9,203,73,0.36,229,62,0.271,230,42,0.183,76.0
2023,Andrew Towns,BOS,PF,29,652,660,193,0.292,225,64,0.284,435,129,0.297,450,15.5,0.296,0.341,0.35,13.9,187,60,0.321,248,69,0.278,225,64,0.284,77.7
2023,Nikola Thompson,BKN,SG,29,641,698,129,0.185,229,30,0.131,469,99,0.211,288,9.9,0.18,0.206,0.35,8.6,223,51,0.229,246,48,0.195,229,30,0.131,58.0
2023,Trae Gobert,BKN,C,29,750,797,163,0.205,273,44,0.161,524,119,0.227,370,12.8,0.202,0.232,0.35,8.4,248,67,0.27,276,52,0.188,273,44,0.161,54.0
2023,LaMelo Harden,BKN,PG,57,1458,1297,287,0.221,456,64,0.14,841,223,0.265,638,11.2,0.213,0.246,0.35,9.3,407,140,0.344,434,83,0.191,456,64,0.14,58.6
2023,Damian Mitchell,BKN,C,29,770,648,119,0.184,238,31,0.13,410,88,0.215,269,9.3,0.179,0.208,0.35,8.3,194,39,0.201,216,49,0.227,238,31,0.13,56.5
2023,Jayson Paul,BKN,SG,29,660,666,126,0.189,247,35,0.142,419,91,0.217,287,9.9,0.185,0.215,0.35,9.1,195,45,0.231,224,46,0.205,247,35,0.142,60.6
2023,Scottie Young,BKN,SF,29,692,647,124,0.192,233,41,0.176,414,83,0.2,289,10.0,0.193,0.223,0.35,8.6,171,47,0.275,243,36,0.148,233,41,0.176,56.4
2023,Giannis George,BKN,C,29,726,700,133,0.19,246,39,0.159,454,94,0.207,305,10.5,0.189,0.218,0.35,8.9,208,51,0.245,246,43,0.175,246,39,0.159,58.8
2023,Nikola Adebayo,BKN,PF,29,804,682,129,0.189,246,44,0.179,436,85,0.195,302,10.4,0.191,0.221,0.35,8.9,205,55,0.268,231,30,0.13,246,44,0.179,58.5
2023,Cade Lillard,BKN,C,29,672,657,144,0.219,252,46,0.183,405,98,0.242,334,11.5,0.217,0.254,0.35,8.8,196,46,0.235,209,52,0.249,252,46,0.183,54.6
2023,Tyrese Tatum,CHA,SG,29,771,613,122,0.199,237,39,0.165,376,83,0.221,283,9.8,0.197,0.231,0.35,8.1,175,53,0.303,201,30,0.149,237,39,0.165,52.3
2023,Paul Brown,CHA,C,29,702,717,148,0.206,238,46,0.193,479,102,0.213,342,11.8,0.208,0.238,0.35,8.6,225,66,0.293,254,36,0.142,238,46,0.193,54.4
